"","M_id","Lopend_gemiddelde","elevation","industry_100","industry_1000","industry_25","industry_300","industry_3000","industry_50","industry_500","industry_5000","nightlight_3150","nightlight_450","nightlight_4950","nightlight_900","OMI_mean_filt","population_1000","population_3000","population_5000","radiation","road_class_1_100","road_class_1_1000","road_class_1_25","road_class_1_300","road_class_1_3000","road_class_1_50","road_class_1_500","road_class_1_5000","road_class_2_100","road_class_2_1000","road_class_2_25","road_class_2_300","road_class_2_3000","road_class_2_50","road_class_2_500","road_class_2_5000","road_class_3_100","road_class_3_1000","road_class_3_25","road_class_3_300","road_class_3_3000","road_class_3_50","road_class_3_500","road_class_3_5000","Rsp","temperature_2m_1","temperature_2m_10","temperature_2m_11","temperature_2m_12","temperature_2m_2","temperature_2m_3","temperature_2m_4","temperature_2m_5","temperature_2m_6","temperature_2m_7","temperature_2m_8","temperature_2m_9","trop_mean_filt","wind_speed_10m_1","wind_speed_10m_10","wind_speed_10m_11","wind_speed_10m_12","wind_speed_10m_2","wind_speed_10m_3","wind_speed_10m_4","wind_speed_10m_5","wind_speed_10m_6","wind_speed_10m_7","wind_speed_10m_8","wind_speed_10m_9","jan","feb","mar","apr","may","jun","jul","aug","oct","sep","nov","dec","BldDen100","BldDen500","BldDen1000","NDVI","trafBuf25","trafBuf50","trafBuf100","trafBuf400","trafBuf800","dist","Longitude","Latitude","geometry"
"11",11,27,7.981204987,0,0,0,0,411303.9063,0,0,6036229.5,44.10217285,58.60289764,34.60275269,62.96073914,6.71495e+15,15701.21582,132802.8438,313457.6563,2.848667383,0,0,0,0,10907.21973,0,0,96269.94531,0,7501.427734,0,0,34988.59766,0,48.63512802,64761.3125,526.0871582,28623.66211,35.85633087,2499.436035,282631.5938,133.5366516,7291.538086,572566.5625,9.513472557,1.925245047,13.75806427,7.979268551,5.158641338,4.872438908,8.089195251,8.572351456,14.38873768,17.73403549,17.91726303,17.61756516,14.33118725,9.1e-05,3.860230684,5.563861847,4.323746204,5.057655334,4.964935303,4.380718708,3.960878372,3.653887987,4.271497726,3.667429924,3.434821844,3.810288906,60.76768875,80.88758087,54.41434479,30.52097893,34.91955566,71.37686157,131.3151855,88.61164856,80.89958191,172.7849121,104.4462585,135.4557648,0.797039644,0.930465234,0.93184951,1730,0,0,0,0,1156.13027,527.352811142816,4.898145,52.362523,c(4.898145, 52.362523)
"12",12,32.5,4.971869469,4048.104492,130149.5391,6.231573105,40677.68359,280625,259.5561218,48750,2289757.5,33.59649277,43.89278793,30.72811317,41.19518661,6.7209e+15,15272.71973,118605.7734,285200.2813,2.851767302,0,871.1132813,0,0,32075.54297,0,0,85407.23438,0,45.02538681,0,0,16976.16992,0,0,56374.70703,544.9783936,37375.30859,64.0157547,5673.397461,242510.0625,163.2897797,14353.20801,580724.75,9.552981377,1.99974215,13.79669189,8.050893784,5.219362259,4.900988579,8.105447769,8.585371017,14.35669613,17.71321487,17.91632652,17.63891411,14.37135601,9.19e-05,3.956583023,5.689856052,4.438885689,5.179582596,5.064877033,4.467358589,4.032675743,3.712601662,4.345874786,3.740231991,3.508899212,3.898616076,61.34876633,80.85414886,53.82027817,32.44688797,34.3572731,68.15727997,131.3782349,90.65194702,81.34624481,174.8819122,102.3594742,134.8004913,0.835395285,0.97360811,0.867999072,977,0,0,0,376.5512229,265.8102414,289.841476595413,4.857865,52.347803,c(4.857865, 52.347803)
"13",13,50.4,4.001306057,0,214302.0469,0,0,275000,0,0,2487796.5,30.8963604,46.73835373,29.41882133,43.34580994,6.72945e+15,15093.63965,110529.8906,269398.4375,2.851768494,0,5862.951172,0,4.112201214,31158.37695,0,1709.56604,88292,0,2028.049194,0,0,16609.58594,0,252.1886749,54055.76172,550.2906494,24935.77344,111.6529312,2696.973877,217729.0938,239.8022003,6893.569336,567780.5,9.408184052,1.989050627,13.79334068,8.038786888,5.209695339,4.903845787,8.109010696,8.584164619,14.36364841,17.7225914,17.9197998,17.64042473,14.36592579,9.19e-05,3.941878557,5.666768074,4.417781353,5.160109043,5.04874897,4.45710659,4.018764019,3.702566385,4.332966805,3.728341341,3.496701717,3.885876656,61.48080063,80.97792053,54.0388298,32.944664,34.52260208,68.0294342,132.3627472,90.37576294,81.36223602,173.9901123,100.938591,135.0923004,0.926310391,0.860660631,0.843335711,1838,90.25,90.25,90.25,815.2995025,2309.942711,7.97659399098114,4.857505,52.341993,c(4.857505, 52.341993)
"14",14,46.3,2.414424419,0,0,0,0,350595.6875,0,0,2931671,24.01397896,22.26125717,25.89041328,23.68023682,6.74991e+15,10527.69336,81764.47656,219315.2969,2.852050066,0,903.4298096,0,0,29664.72852,0,0,89918.34375,0,4602.328613,0,0,14422.79492,0,0,66811.66406,244.5646057,12975.28613,61.15685654,2005.575439,159700.7031,111.1574631,5388.159668,473621.4688,9.049695015,1.964133263,13.78580952,8.010371208,5.187064171,4.911362171,8.118044853,8.581448555,14.38017178,17.74526596,17.92832184,17.64451027,14.35330963,9.23e-05,3.907449484,5.612286568,4.367965221,5.114417076,5.010892868,4.433443069,3.985867977,3.678953648,4.302578449,3.700419903,3.468044043,3.856130123,61.8326416,81.11415863,54.67566681,33.42992783,34.83795547,67.81069946,133.3124695,89.67733002,81.36543274,173.1487122,98.40732574,135.8631897,0,0.150037482,0.345192773,1389,90.25,90.25,90.25,90.25,90.25,0.165902382694847,4.857525,52.328243,c(4.857525, 52.328243)
"15",15,25.4,7.082103252,0,1250,0,0,496023.125,0,0,4501257.5,43.34353256,47.8260994,33.53471756,48.48438263,6.73015e+15,15380.80176,136769.8594,311709.9063,2.849535942,0,0,0,0,27931.76758,0,0,82772.15625,0,1379.47583,0,0,27800.15039,0,0,66258.16406,543.6765137,50712.625,54.35490417,5544.788574,270094.375,149.3357697,13443.90234,581601.375,9.566464424,1.973057508,13.78197289,8.025594711,5.197779179,4.888299942,8.097489357,8.580311775,14.36701965,17.71803284,17.91534615,17.62962151,14.35684586,9.06e-05,3.92293787,5.647102356,4.399981976,5.137308121,5.030240536,4.435975552,4.00854826,3.692430496,4.320347786,3.715016127,3.483333826,3.867530584,61.19685745,80.95339966,54.16410828,31.46872139,34.61011887,69.20915985,130.6724854,89.83248901,81.18243408,174.8137207,102.5847397,135.1169434,0.981328334,0.77413582,0.84038783,2718,0,0,0,0,0,872.312922408686,4.873505,52.355693,c(4.873505, 52.355693)
"16",16,37.9,0.001125027,0,13565.37598,0,0,1686808.875,0,0,3989565.75,29.71451569,32.9341507,21.17134476,33.98861313,6.74629e+15,11686.47949,76172.36719,153185.5781,2.857259989,0,7080.897461,0,1692.806519,63240.38281,0,2824.083496,137062.9688,0,0,0,0,14388.78906,0,0,24435.51563,346.300354,32621.82227,17.27609444,1968.635132,152782.2188,71.23096466,8368.499023,317359.9063,8.278752327,1.7280761,13.67048931,7.753603458,4.980972767,4.865147591,8.091491699,8.528009415,14.48618889,17.85675049,17.95245934,17.6085453,14.22948837,8.68e-05,3.648806095,5.236314297,4.035401344,4.775846481,4.734619141,4.213011265,3.774345398,3.517816782,4.0912323,3.496411324,3.260922194,3.622821331,61.60405731,82.33999634,57.52366257,30.4328022,36.55809784,74.88368225,137.5332642,82.99407959,80.09916687,165.2917023,98.63401794,138.1353607,0.969767782,0.804652652,0.624086451,2252,0,0,0,0,0,1335.25235554622,4.963695,52.319463,c(4.963695, 52.319463)
"17",17,30.7,6.013523102,0,1250,0,0,1680762.5,0,0,6764512.5,40.90952682,82.28007507,33.60228348,73.59733582,6.69916e+15,14139.55762,124214.7578,316706.125,2.849205971,0,2966.047607,0,0,11626.78125,0,1060.696533,111931.1953,0,4759.710938,0,0,34292.90234,0,792.1422119,61634.79688,326.8077393,17312.65625,47.6749382,2102.374756,245801.4375,116.763649,5014.707031,568043.1875,9.566052437,1.92816329,13.75644398,7.984894276,5.162724972,4.863557339,8.08038044,8.571258545,14.38468075,17.72629547,17.91298103,17.61201668,14.33206749,9.21e-05,3.867026806,5.57787323,4.336245537,5.066957474,4.973472118,4.382602215,3.9709723,3.660275221,4.279556274,3.673860312,3.44116044,3.815215349,60.46837997,80.77509308,54.27003479,29.63521576,34.97101974,72.40505219,130.5287628,88.26529694,80.72951508,172.6277161,106.0229645,135.5052032,0.971383257,0.750163392,0.67750343,933,0,0,0,1637.333333,1632.454156,373.74737854985,4.905405,52.372993,c(4.905405, 52.372993)
"18",18,31.1,6.812567711,0,75184.96094,0,0,1861569.375,0,0,9949116,42.77316666,48.25175858,35.85810471,52.27923584,6.70184e+15,16048.88965,128981.6172,338166.0625,2.852311611,0,0,0,0,17437.71289,0,0,83491.92969,0,2768.813232,0,164.2763519,27211.90234,0,1091.039307,69480.92188,0.603901386,34536.21484,0,1795.029663,249851.75,0,5377.303711,586197.8125,9.648521423,1.992341042,13.78578854,8.050469398,5.216856956,4.875021935,8.084332466,8.58221817,14.35272598,17.69483757,17.90559387,17.62163925,14.36626434,9.31e-05,3.948745489,5.692708969,4.441161156,5.17255497,5.059761047,4.450597763,4.036879539,3.711504698,4.345230103,3.737052917,3.505871058,3.888927698,60.75389481,80.73227692,53.97228622,30.07851982,34.51568985,70.38465118,128.7770233,89.70046234,80.9697113,175.727417,105.6163254,134.9258575,0.998869816,0.981037476,0.968234133,1158,0,0,0,580.75,580.75,281.858154924513,4.879505,52.374293,c(4.879505, 52.374293)
"19",19,25.7,4.562119484,0,205732.0781,0,0,1014375,0,48201.21094,4014949.75,26.48923111,24.91168213,25.51894569,24.75948334,6.69425e+15,12050.14648,91164.75,229745.125,2.848917961,0,3009.064697,0,729.6647339,34253.69922,0,1703.054077,78607.91406,0,2994.656738,0,0,21919.04297,0,32.18663025,49749.84766,176.1601257,25911.83594,12.66815662,2130.921631,164232.5781,43.6605835,7606.996582,483682.9063,9.435286522,1.848998189,13.71677113,7.898588181,5.094110489,4.8465662,8.065875053,8.549426079,14.418787,17.76701546,17.92087364,17.59883881,14.28844166,8.91e-05,3.791393757,5.464936256,4.235422611,4.965452194,4.89364481,4.318387032,3.911805868,3.615894556,4.219414711,3.614517212,3.379657984,3.746090651,60.23248291,80.7299118,54.42925262,28.76733208,35.37131119,74.42241669,131.1340332,86.81560516,80.3730545,170.4458618,106.4817429,136.0589752,0.944116845,0.727103149,0.579585261,1393,0,0,0,1637.333333,1637.333333,185.619627611734,4.941645,52.370663,c(4.941645, 52.370663)
"20",20,34.5,1.530540228,0,121458.7734,0,0,1024923.063,0,16374.81836,4113095.75,30.66324234,31.25723839,27.10056305,29.9147644,6.69414e+15,12743.98633,96000.39844,238510.9063,2.849025965,21.07303238,2447.273438,0,1033.144531,31742.36719,0,1455.979248,79545.24219,0,4069.835449,0,754.920166,23928.39453,0,1700.272095,51391.77734,476.2654419,25444.50195,69.17737579,3075.21875,172335.0313,142.8889923,7230.803223,489332.7813,9.458013535,1.859583139,13.72189617,7.910283089,5.103384018,4.848285198,8.06722641,8.552199364,14.41403961,17.76122856,17.91957855,17.60023499,14.2941885,8.97e-05,3.80183816,5.480726242,4.249479771,4.979450226,4.904768944,4.327054024,3.920290232,3.622196674,4.227898121,3.622785807,3.388186693,3.755550861,60.23248291,80.7299118,54.42925262,28.76733208,35.37131119,74.42241669,131.1340332,86.81560516,80.3730545,170.4458618,106.4817429,136.0589752,0.975492716,0.746664259,0.603487719,1181,0,0,0,1637.333333,1637.333333,129.947316050733,4.936555,52.371143,c(4.936555, 52.371143)
