,Lopend_gemiddelde,Latitude,Longitude,elevation,industry_3000,industry_5000,nightlight_450,nightlight_4950,nightlight_900,population_3000,population_5000,road_class_1_1000,road_class_1_5000,road_class_2_1000,road_class_2_25,road_class_2_3000,road_class_2_500,road_class_2_5000,road_class_3_100,road_class_3_1000,road_class_3_25,road_class_3_300,road_class_3_3000,road_class_3_50,road_class_3_5000,Rsp,oct,BldDen100,BldDen500,NDVI,trafBuf25,trafBuf50,trafBuf800
13,46.3,52.328243,4.857525,2.414424419,350595.6875,2931671.0,22.26125717,25.89041328,23.68023682,81764.47656,219315.2969,903.4298096,89918.34375,4602.328613,0.0,14422.79492,0.0,66811.66406,244.5646057,12975.28613,61.15685654,2005.575439,159700.7031,111.1574631,473621.4688,9.049695015,81.36543274,0.0,0.150037482,1389.0,90.25,90.25,90.25
14,25.4,52.355693,4.873505,7.082103252,496023.125,4501257.5,47.8260994,33.53471756,48.48438263,136769.8594,311709.9063,0.0,82772.15625,1379.47583,0.0,27800.15039,0.0,66258.16406,543.6765137,50712.625,54.35490417,5544.788574,270094.375,149.3357697,581601.375,9.566464424,81.18243408,0.981328334,0.77413582,2718.0,0.0,0.0,0.0
15,37.9,52.319463,4.963695,0.001125027,1686808.875,3989565.75,32.9341507,21.17134476,33.98861313,76172.36719,153185.5781,7080.897461,137062.9688,0.0,0.0,14388.78906,0.0,24435.51563,346.300354,32621.82227,17.27609444,1968.635132,152782.2188,71.23096466,317359.9063,8.278752327,80.09916687,0.969767782,0.804652652,2252.0,0.0,0.0,0.0
16,30.7,52.372993,4.905405,6.013523102,1680762.5,6764512.5,82.28007507,33.60228348,73.59733582,124214.7578,316706.125,2966.047607,111931.1953,4759.710938,0.0,34292.90234,792.1422119,61634.79688,326.8077393,17312.65625,47.6749382,2102.374756,245801.4375,116.763649,568043.1875,9.566052437,80.72951508,0.971383257,0.750163392,933.0,0.0,0.0,1632.454156
17,31.1,52.374293,4.879505,6.812567711,1861569.375,9949116.0,48.25175858,35.85810471,52.27923584,128981.6172,338166.0625,0.0,83491.92969,2768.813232,0.0,27211.90234,1091.039307,69480.92188,0.603901386,34536.21484,0.0,1795.029663,249851.75,0.0,586197.8125,9.648521423,80.9697113,0.998869816,0.981037476,1158.0,0.0,0.0,580.75
18,25.7,52.370663,4.941645,4.562119484,1014375.0,4014949.75,24.91168213,25.51894569,24.75948334,91164.75,229745.125,3009.064697,78607.91406,2994.656738,0.0,21919.04297,32.18663025,49749.84766,176.1601257,25911.83594,12.66815662,2130.921631,164232.5781,43.6605835,483682.9063,9.435286522,80.3730545,0.944116845,0.727103149,1393.0,0.0,0.0,1637.333333
19,34.5,52.371143,4.936555,1.530540228,1024923.063,4113095.75,31.25723839,27.10056305,29.9147644,96000.39844,238510.9063,2447.273438,79545.24219,4069.835449,0.0,23928.39453,1700.272095,51391.77734,476.2654419,25444.50195,69.17737579,3075.21875,172335.0313,142.8889923,489332.7813,9.458013535,80.3730545,0.975492716,0.746664259,1181.0,0.0,0.0,1637.333333
20,32.3,52.379263,4.925155,2.021534443,1816536.375,4671884.0,31.24086952,27.91590118,32.06688309,106347.1172,251339.8125,1654.05481,65721.125,3491.244873,0.0,25733.67188,1176.009888,54749.30859,475.3538208,14846.52051,45.23572922,1651.140625,206132.2344,135.3552399,490046.9688,9.57141304,80.56115723,0.0,0.0,0.0,0.0,0.0,1637.333333
21,34.2,52.346803,4.893145,6.496932507,1142315.25,3286428.5,45.38327789,32.65924454,43.82242584,124436.5,287465.9688,730.5386353,88673.89844,2092.792725,0.0,30160.25586,0.0,64070.1875,630.7178955,38711.54297,60.25260544,3034.950195,245056.3594,158.8409424,541982.375,9.372164726,80.91246796,0.998880161,0.988344999,1594.0,0.0,0.0,447.769907
22,28.4,52.360193,4.841445,4.460495949,535646.125,6075233.5,30.17253113,32.19285202,30.65552139,124019.6797,299744.6563,5911.25293,84154.0625,2983.433594,0.0,10365.84863,1375.550659,52234.53516,191.191864,22706.20117,5.404287338,1276.354248,277961.9688,32.99710464,554791.0625,9.406173706,81.43721008,0.810705758,0.618954198,3517.0,0.0,0.0,1511.090387
23,22.1,52.343993,4.825405,2.086676598,576030.5,1984481.5,32.84008408,24.74921608,29.45812035,90479.39063,237808.6563,5331.277832,90115.57031,0.0,0.0,8067.28418,0.0,39198.70703,773.1398926,30318.61133,117.8340149,3426.492188,183748.2188,264.21875,512017.25,8.753495216,81.61328125,0.983864944,0.846782546,2052.0,0.0,0.0,2560.857964
24,37.2,52.361693,4.876205,6.754185677,445186.2813,6734815.0,64.79379272,35.29116058,57.49641418,136383.7031,325667.1875,0.0,88400.54688,2672.617432,0.0,25468.13672,1256.258423,69026.10938,727.7450562,33273.73438,96.26282501,3906.123291,285754.0313,249.1053772,584368.625,9.590150833,81.04736328,0.998865621,0.850646343,1764.0,0.0,0.0,580.75
25,25.2,52.320493,4.963905,0.106724732,1714156.125,3959203.75,32.9341507,21.17134476,33.98861313,74830.30469,156629.5156,6721.55127,137238.875,0.0,0.0,14577.33398,0.0,24721.42188,4.383523941,30866.48047,0.0,1898.768677,153315.1094,0.0,320206.75,8.305924416,80.09916687,0.998943441,0.803148098,2183.0,0.0,0.0,0.0
26,39.3,52.374993,4.896005,11.33301258,2033392.625,8179189.5,98.38986969,34.68779755,80.50305176,124520.8906,326791.8125,0.0,86034.77344,3289.758301,0.0,35628.78125,0.0,63196.96094,192.5466309,23484.26953,47.34803009,1629.870605,236412.7813,87.11321259,585349.0,9.609107018,80.85053253,0.998885281,0.993548286,1012.0,0.0,0.0,1547.546049
