,Longitude,Latitude,mean_value_NO2,nightlight_450,nightlight_3150,population_1000,population_3000,road_class_2_25,road_class_3_3000,road_class_3_300,trop_mean_filt_2019,BldDen100,NDVI,trafBuf25,trafBuf50
449,9.511769,53.928028,35.44603438,8.265495,2.849758,5208.223145,20554.49219,0.0,113266.2578,3458.1875,4.89e-05,1.000772735,3026.0,252.2916667,252.2916667
450,9.55462,51.70884,8.404893724,0.0,0.011342,1.179139,553.915649,0.0,8386.919922,0.0,4.27e-05,0.0,6456.0,0.0,0.0
451,9.62295,52.82943,12.34266714,0.033263,0.124642,525.527893,2220.520508,0.0,36299.96484,1464.452393,4.93e-05,0.665033969,3608.0,0.0,0.0
452,9.657919,49.634841,13.48823922,5.492264,1.437974,2226.364502,7279.484375,0.0,77169.41406,716.980103,5.2e-05,0.003731905,3842.0,0.0,0.0
453,9.680167,50.546384,20.62199835,14.104665,6.992097,7623.298828,42193.02344,0.0,207500.0469,3035.166992,4.91e-05,0.982507807,1827.0,0.0,0.0
454,9.684854,50.550028,39.6136303,17.872072,7.556146,8001.640625,43619.27344,25.211052,215433.3281,3660.015137,4.94e-05,0.982414778,3149.0,836.75,836.75
455,9.68503,53.52418,12.94533868,1.062887,0.319708,1433.841309,5233.491699,0.0,47424.92188,894.054871,5.87e-05,0.481737414,3908.0,0.0,0.0
456,9.688869,47.557473,24.4578388,6.668662,2.462574,4824.019531,18501.2793,0.0,97649.94531,5002.840332,4.58e-05,1.000734396,5233.0,0.0,0.0
457,9.70612,52.36292,18.1922093,16.257223,17.139261,9134.098633,73575.59375,0.0,242890.3125,2113.083496,6.11e-05,0.675777506,5826.0,0.0,0.0
458,9.7155,52.359478,44.15717033,22.240332,17.922415,9173.106445,70905.05469,75.168282,247188.6875,2279.550537,6.07e-05,0.999735979,1799.0,177.3333333,177.3333333
459,9.733231,49.107878,18.61041425,7.251439,3.069514,4385.723145,18977.86523,0.0,144858.0156,2904.58252,4.99e-05,0.995067215,3125.0,0.0,0.0
460,9.774588,51.291757,6.329484673,0.0,0.003303,0.0,8.181643,0.0,2491.161133,0.0,3.89e-05,0.0,4129.0,0.0,0.0
