FID;Longitude;Latitude;wkd_day_value;wnd_day_value;wkd_night_value;wnd_night_value;mean_value_NO2;radiation;nightlight_450;nightlight_4950;nightlight_3150;nightlight_900;elevation;industry_1000;industry_100;industry_25;industry_3000;industry_300;industry_5000;industry_500;industry_50;population_1000;population_3000;population_5000;road_class_1_1000;road_class_1_100;road_class_1_25;road_class_1_3000;road_class_1_300;road_class_1_5000;road_class_1_500;road_class_1_50;road_class_2_1000;road_class_2_100;road_class_2_25;road_class_2_3000;road_class_2_300;road_class_2_5000;road_class_2_500;road_class_2_50;road_class_3_1000;road_class_3_100;road_class_3_25;road_class_3_3000;road_class_3_300;road_class_3_5000;road_class_3_500;road_class_3_50;temperature_2m_10;temperature_2m_11;temperature_2m_12;temperature_2m_1;temperature_2m_2;temperature_2m_3;temperature_2m_4;temperature_2m_5;temperature_2m_6;temperature_2m_7;temperature_2m_8;temperature_2m_9;TROP_2018;wind_speed_10m_10;wind_speed_10m_11;wind_speed_10m_12;wind_speed_10m_1;wind_speed_10m_2;wind_speed_10m_3;wind_speed_10m_4;wind_speed_10m_5;wind_speed_10m_6;wind_speed_10m_7;wind_speed_10m_8;wind_speed_10m_9;trop_mean_filt_2019;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;BldDen100;BldDen500;BldDen1000;NDVI;trafBuf25;trafBuf50;trafBuf100;trafBuf400;trafBuf800
214;4.708214;51.800658;24.42758087;17.53814286;23.59581721;20.47767025;22.54108603;2.891179;17.63336;11.16514;13.069267;15.624577;0.264585;172500;29375;3125;2060000;53125;6021875;62500;8125;7678.185547;45516.52344;115027.1875;3785.795898;0;0;10759.12793;0;46466.6875;0;0;0;0;0;4767.34668;0;10718.08203;0;0;27401.31641;327.133667;19.548607;157951.7344;3518.763672;398253.75;7986.613281;84.090569;13.713513;7.412565;4.816428;1.452981;5.379737;8.505998;8.671184;15.03328;18.675301;18.351221;17.954243;14.268372;618.844543;4.378841;3.407577;4.267402;3.166375;4.188861;3.93523;3.234117;3.1988;3.738299;3.164536;2.865966;3.253772;8.86E-05;72.48592377;87.61100006;61.03575134;26.73425102;32.35641098;66.98931122;117.3184052;65.77790833;130.5651245;75.95275879;79.51358795;147.7307892;0.998651591;0.639649895;0.698495413;2768;0;0;0;0;0
215;4.715072;52.32745;24.99640669;18.22840599;24.27619048;20.94607143;23.15003743;2.933417;8.236762;17.647202;10.162917;6.398387;-3.539197;0;0;0;785625;0;2673750;0;0;678.939392;9938.854492;60285.35938;0;0;0;31803.11328;0;134406.5938;0;0;0;0;0;0;0;9681.075195;0;0;3575.788818;0;0;49779.03906;0;273289.2188;828.640869;0;13.953074;8.378936;5.511492;2.353112;4.984545;8.120267;8.624387;14.185424;17.586004;17.891817;17.707727;14.556066;647.209778;6.386685;5.078769;5.834815;4.477587;5.611276;4.905934;4.448523;4.046554;4.760566;4.137654;3.91119;4.366563;9.92E-05;66.25521851;78.92811584;52.54551315;39.33781052;32.16753387;62.54004288;128.3595734;98.78942108;185.4935608;82.02070618;105.8664246;133.5373535;0;0.075325219;0.04242227;4512;0;0;0;0;0
216;4.73;52.4;20.21195986;15.80777238;20.57028599;18.97208738;19.34029966;2.919677;3.629015;12.930081;11.687222;4.394221;-0.059781;9375;0;0;3278750;0;12660625;0;0;1190.117432;24170.26953;87448.8125;0;0;0;23163.94141;0;82439.92188;0;0;0;0;0;12589.35938;0;41002.41016;0;0;4060.334229;76.642303;0;47455.17188;735.811157;112114.5859;1735.628662;0;13.985044;8.519544;5.617858;2.484423;4.933605;8.05394;8.61903;14.062667;17.429667;17.829405;17.676973;14.621265;602.615295;6.742909;5.415699;6.150656;4.718836;5.871653;5.076413;4.666316;4.210457;4.96272;4.327023;4.108698;4.578449;9.23E-05;63.4346962;78.66542053;50.6231041;32.4450798;31.05065155;60.05915833;122.1053085;95.28700256;189.8467712;79.87612915;110.6982498;130.6694946;0;0.022381647;0.040503563;4386;0;0;0;0;0
217;4.766678;52.287428;24.41595265;21.05218598;21.65590123;20.75461165;22.76938095;2.911425;36.766491;31.331917;32.278408;34.916325;-2.465279;701875;0;0;2519375;13750;5496250;130625;0;3070.843262;29905.60547;79103.07813;5048.620605;386.631714;113.929268;45365.82422;1180.104126;116905.75;2168.515625;180.971527;1594.255127;0;0;10898.05566;0;39524.39453;0;0;4636.456543;0;0;65978.79688;125.964485;194658.9219;540.491089;0;13.860861;8.136065;5.300878;2.098182;4.978944;8.153026;8.604445;14.337859;17.740681;17.94215;17.692822;14.427092;638.911255;5.832551;4.56605;5.332142;4.082431;5.19009;4.595943;4.114829;3.788376;4.439859;3.833898;3.600711;4.015698;9.42E-05;64.62966156;80.56576538;55.43304062;39.44365311;33.87802124;63.88202667;134.5476074;94.38642883;178.124527;81.80088806;97.37652588;137.7002716;0.594754986;0.483582319;0.511095625;3095;0;0;0;0;0
218;4.77;52.43;26.90067797;20.00874126;28.51482387;25.83936817;25.87117145;2.905473;12.78924;15.592198;16.13566;13.060492;-0.861229;1610000;30625;3125;7958125;235000;16749375;559375;8125;3706.628174;42407.14063;130591.9531;0;0;0;0;0;27002.32031;0;0;2167.957764;0;0;24341.2793;417.726746;56658.82031;1039.993408;0;4194.717285;0;0;27777.5;0;135047.2656;23.590763;0;13.938271;8.437872;5.548953;2.400962;4.905383;8.043769;8.603743;14.096514;17.441107;17.824852;17.648699;14.569704;595.035217;6.552315;5.237962;5.958616;4.568316;5.729287;4.946023;4.555027;4.12421;4.840201;4.210213;3.992058;4.435545;9.30E-05;61.79228973;79.29356384;50.62970352;29.721138;31.42337227;61.14805984;119.1130447;94.9598999;191.1938477;79.32720184;112.8600159;131.2310028;0;0.066844972;0.082051353;NA;0;0;0;313.5;313.5
219;4.773589;52.333561;31.34852778;25.95445882;30.65418695;28.86892857;29.91961452;2.904507;16.328678;19.628206;22.420898;16.887943;-2.504467;8125;0;0;1006875;0;3167500;0;0;2860.167236;40853.32813;104717.1875;7968.713379;0;0;50310.58984;0;111819.7188;119.535851;0;2002.533447;165.257401;0;7237.358887;577.614929;26036.28125;994.74585;0;19753.34961;276.015625;16.475979;125138.3125;2036.395264;230133.7188;6548.951172;98.417366;13.885321;8.232944;5.376768;2.188808;4.951248;8.122266;8.611646;14.269444;17.648954;17.905748;17.679235;14.471195;649.758362;6.041211;4.759686;5.510441;4.218509;5.339571;4.691607;4.239908;3.878853;4.554158;3.940533;3.711669;4.134905;0.000100617;63.34939194;79.93470001;52.19690704;36.06164551;33.1319313;63.01697922;130.2287445;95.77598572;180.4878082;82.26306915;100.473732;133.8602448;0.930881538;0.560185455;0.43029329;4230;0;0;0;0;973.3250989
220;4.780847;51.603333;24.34578057;16.92668155;24.54079084;21.99515033;22.75518032;2.875499;26.343204;12.515213;16.921253;25.57592;4.261734;621875;0;0;3913125;20000;6171875;111875;0;9032.339844;57154.46094;113738.6563;0;0;0;0;0;31622.99414;0;0;5978.725586;0;0;19344.38867;1563.544189;44330.30859;2991.604248;0;30001.11914;346.531281;19.752121;198478.0156;1546.363403;425546.3125;4320.265625;125.379715;13.75775;7.304519;4.781093;1.474189;5.624551;8.707502;8.692447;15.27007;19.037226;18.435814;18.118267;14.325331;605.478821;4.276147;3.393983;4.243339;3.134883;4.080173;3.878557;3.130947;3.110175;3.670547;3.119317;2.77558;3.240019;0.000100178;76.884758;90.29862213;69.45819092;21.25155258;31.7260685;55.64032745;122.0074997;67.3737793;114.097435;62.22139359;76.47232056;134.2412109;0.758179967;0.702286437;0.703649659;3457;0;0;0;901.9215814;947.8876637
221;4.79361963;52.37888718;22.21430556;17.38119362;21.89012107;20.52997573;21.05611366;2.886335;13.444684;23.464975;21.747868;13.319636;1.728628;0;0;0;4293750;0;16266875;0;0;8734.416016;80018.97656;231107.4375;3251.267822;0;0;29584.04883;0;95681.14844;0;0;0;0;0;15767.04981;0;35748.75;0;0;12497.40918;176.859436;25.320133;118670.0156;823.067322;372453.5313;4664.955566;63.660076;13.887738;8.278468;5.408059;2.222304;4.915211;8.091246;8.613599;14.232361;17.582876;17.878056;17.655781;14.487585;628.400269;6.131085;4.84436;5.579119;4.266165;5.394374;4.713943;4.292956;3.912671;4.599621;3.98115;3.755442;4.174734;9.92E-05;62.18474579;80.02098846;52.25157928;32.05002213;32.76231384;64.49544525;125.8735352;93.86128998;183.276825;81.20639801;106.7507401;132.9700012;0.583448332;0.698654953;0.439312182;3607;0;0;0;0;950.376381
222;4.8166666;52.45000076;22.66009096;17.09083333;23.58860385;22.42026699;21.7975141;2.898394;18.178207;11.774442;13.130635;18.298492;2.588641;208750;0;0;2545625;1250;12708125;47500;0;8945.960938;52825.6875;116911.9688;891.668762;0;0;24601.85352;0;53228.91016;0;0;6035.322266;217.97139;0;26295.21484;1121.280273;44771.27734;1911.268433;0;14919.87891;0;0;129376.9375;1276.436768;204203.5313;1990.626099;0;13.882163;8.330423;5.456053;2.287543;4.875944;8.035324;8.587421;14.149504;17.477083;17.828346;17.620089;14.505023;586.179443;6.318852;5.018421;5.730827;4.3891;5.554441;4.796351;4.422635;4.019278;4.700955;4.074488;3.852896;4.269548;9.12E-05;60.68069077;79.74981689;50.83182907;27.74444008;31.98899841;62.80497742;117.2769241;94.98701477;191.4478607;79.99516296;114.7375641;132.3987274;0.734120039;0.796882081;0.799044818;2221;0;0;1626.5;1416.821508;909.1133744
223;4.82500839;51.59360886;37.61537543;24.76060902;31.78618375;26.07899563;32.68024287;2.868778;20.392078;9.648657;11.483783;18.182997;7.556684;720000;16875;2500;1268125;119375;4731250;236250;5625;6340.463379;37014.32813;87994.14063;5572.567383;0;0;16065.39453;235.303772;37166.63281;2978.324219;0;4734.424805;334.732605;25.284933;19750.39063;1446.016357;36121.35156;2312.8396;79.026581;16074.00879;0;0;162988.8906;1642.540283;368019.0938;4371.107422;0;13.744297;7.268265;4.761435;1.439291;5.625922;8.704901;8.677083;15.278938;19.0467;18.442467;18.121;14.314293;595.207703;4.231028;3.362561;4.204572;3.102942;4.035303;3.836435;3.09786;3.073799;3.628274;3.086444;2.739377;3.20974;9.64E-05;76.37099457;90.53340912;70.2052002;21.41284561;31.48347473;53.52510071;122.0908051;65.55789948;109.7677307;61.44618988;74.71933746;133.2390137;0.625839903;0.614556596;0.517842;2884;0;433.25;433.25;694.1484844;760.6736087
