FID;Longitude;Latitude;wkd_day_value;wnd_day_value;wkd_night_value;wnd_night_value;mean_value_NO2;radiation;nightlight_450;nightlight_4950;nightlight_3150;nightlight_900;elevation;industry_1000;industry_100;industry_25;industry_3000;industry_300;industry_5000;industry_500;industry_50;population_1000;population_3000;population_5000;road_class_1_1000;road_class_1_100;road_class_1_25;road_class_1_3000;road_class_1_300;road_class_1_5000;road_class_1_500;road_class_1_50;road_class_2_1000;road_class_2_100;road_class_2_25;road_class_2_3000;road_class_2_300;road_class_2_5000;road_class_2_500;road_class_2_50;road_class_3_1000;road_class_3_100;road_class_3_25;road_class_3_3000;road_class_3_300;road_class_3_5000;road_class_3_500;road_class_3_50;temperature_2m_10;temperature_2m_11;temperature_2m_12;temperature_2m_1;temperature_2m_2;temperature_2m_3;temperature_2m_4;temperature_2m_5;temperature_2m_6;temperature_2m_7;temperature_2m_8;temperature_2m_9;TROP_2018;wind_speed_10m_10;wind_speed_10m_11;wind_speed_10m_12;wind_speed_10m_1;wind_speed_10m_2;wind_speed_10m_3;wind_speed_10m_4;wind_speed_10m_5;wind_speed_10m_6;wind_speed_10m_7;wind_speed_10m_8;wind_speed_10m_9;trop_mean_filt_2019
330;7.483562;51.523543;59.11034104;47.09609375;39.62862275;37.70735043;50.14502857;2.85884;20.512075;18.800106;24.113857;22.830973;83.242661;803750;0;0;4594375;0;8435000;120625;0;9373.724609;80752.41406;189564.9375;1542.590576;0;0;23661.08398;95.056648;71533.05469;510.116302;0;2063.936523;0;0;37283.20313;0;52342.55078;0;0;25536.88281;470.362061;51.226875;217627.5469;4207.17627;525904.875;9084.496094;102.485466;12.863657;6.344744;3.83033;-0.48836;4.78005;8.31946;8.056309;15.02276;18.67099;18.800507;18.214191;13.946576;673.370422;4.06613;3.304332;4.049958;2.905822;3.677322;3.490747;2.877184;2.557926;3.176108;2.805557;2.528143;2.918908;0.000104633
331;7.567969;47.819019;19.65518395;15.69346939;19.94480161;18.8247205;18.89043648;3.365;4.891114;4.275423;5.97467;4.621735;226.658676;73750;0;0;2545625;0;4483125;6875;0;2731.355469;10267.08398;22477.13281;2385.63916;0;0;12329.61816;0;21715.88672;0;0;2188.503906;0;0;6960.117676;587.525879;19295.92773;1066.921021;0;28257.2168;253.833542;51.650944;75676.21094;3171.370117;167588.5156;8750.369141;123.371048;11.421279;5.2054;2.197986;-2.28598;4.010912;8.287292;8.881903;14.718702;20.270864;20.77578;20.808054;14.018586;391.978943;1.899562;2.137502;2.396467;1.922835;1.991031;2.168852;1.865727;1.600308;1.97486;1.963482;1.570261;1.853189;5.87E-05
332;7.569761;51.592208;23.55737909;16.28926407;26.09847685;22.83638539;22.70933344;2.869709;1.120208;3.925308;2.326155;1.001308;59.605881;50000;0;0;470625;0;2876875;625;0;2349.447754;24244.2793;83121.71875;3476.691162;0;0;12514.00586;0;22606.60547;293.018494;0;0;0;0;0;0;9429.5625;0;0;10335.39648;297.240326;75.00074;117328.3516;1997.866333;349639.5;5893.14502;125.001678;12.917592;6.392805;3.933188;-0.215506;4.778517;8.328418;8.066208;15.006627;18.650078;18.803917;18.215206;13.967619;649.036255;4.024165;3.280441;4.012705;2.850269;3.649061;3.429888;2.862662;2.511223;3.138066;2.760347;2.499902;2.862342;9.17E-05
333;7.582247;51.448797;24.70704037;16.63705128;23.78343424;20.45710269;22.5452374;2.868839;6.0673;2.828066;3.749055;5.665982;120.850014;5000;625;0;1026875;3125;1565625;3125;0;4878.901855;25353.56836;60687.85938;0;0;0;12586.12109;0;45309.10156;0;0;884.508972;0;0;6378.149414;0;9161.923828;0;0;22017.12109;283.188416;88.289055;123450.9453;2542.277344;328277.5313;7748.590332;155.472839;12.433438;5.956775;3.393454;-1.113122;4.446307;7.985553;7.633151;14.613244;18.2022;18.407988;17.849276;13.547475;582.206055;4.067311;3.282368;4.056189;2.941441;3.689846;3.50325;2.868429;2.529923;3.14373;2.815756;2.531647;2.930385;8.23E-05
334;7.592242;50.359373;48.783366;36.03993878;32.46410992;29.6474491;40.64804109;2.97438;27.840021;6.209829;9.469902;23.128712;80.55481;5000;0;0;555000;0;3092500;0;0;8936.311523;51423.94922;91637.17188;8677.790039;0;0;34005.57031;296.881226;76544.84375;3903.921387;0;2798.196045;0;0;20680.32617;0;34679.03906;1070.031494;0;34187.80469;766.949951;78.602142;198103.4844;3522.577881;365128.7188;8667.107422;198.14917;11.730248;5.6655;3.226003;-1.480809;4.046595;7.625623;7.79314;14.62403;18.588535;19.155481;18.288748;13.406603;482.780365;2.972553;2.604285;3.124712;2.510474;3.020746;2.917724;2.38249;2.12637;2.463176;2.429085;2.088169;2.361128;7.28E-05
335;7.596633;50.354403;39.5645528;30.60097959;29.64975481;28.38869048;34.43217149;2.974262;25.425732;6.114258;8.933427;21.674978;77.99453;0;0;0;136875;0;3026875;0;0;7225.259277;46717.17969;88841.02344;10047.0459;450.354065;77.75367;45817.41016;1580.4104;70781.64063;1984.299683;178.788528;1225.930176;254.240005;56.754227;18990.47266;648.180969;36732.23828;998.636353;104.12915;30907.27539;301.951508;0;191302.2969;3839.60083;355182.7188;9345.22168;50.101551;11.723221;5.655659;3.214561;-1.491851;4.037141;7.621226;7.789037;14.618347;18.584131;19.152178;18.286392;13.398097;479.764557;2.97254;2.604484;3.125355;2.511375;3.018777;2.917929;2.381898;2.125032;2.463775;2.429511;2.088547;2.361035;7.19E-05
336;7.611583;51.936535;19.96912529;13.67539985;19.15223214;17.521181;18.34268452;2.854124;8.325098;7.898237;10.998009;9.230895;65.362274;11250;0;0;1571875;0;3047500;0;0;9287.84082;58268.76953;134905.7969;6849.850098;0;0;18265.16602;978.159302;49176.46875;2426.658936;0;3282.424805;0;0;13899.0459;0;23442.51172;1080.523682;0;30761.49219;178.423615;0;159455.2188;2420.00293;443501.9375;6625.235352;21.113302;12.911503;6.450804;4.024411;-0.068069;4.511251;8.16587;8.152906;15.092948;18.676699;18.791773;18.251135;13.995519;532.139282;3.849061;3.128952;3.723763;2.694468;3.584097;3.163978;2.869749;2.542836;3.064617;2.653295;2.476883;2.710104;7.88E-05
337;7.614573;49.191996;18.4116;12.93764626;14.07484615;12.11009524;15.73623839;3.114572;8.591003;2.946199;4.938958;8.002879;379.55069;78750;0;0;1197500;0;2345000;59375;0;5946.327637;26499.38672;41563.08203;0;0;0;10728.02344;0;23248.90234;0;0;0;0;0;2339.48291;0;7031.459473;0;0;34630.96094;523.818176;77.519135;148706.0156;3114.922363;230093.5469;8556.857422;133.060501;11.529468;5.234658;2.74665;-2.237418;4.253263;7.921012;8.399345;14.967553;19.65604;19.778877;19.062874;13.372386;311.313049;2.640512;2.656914;3.228143;2.675763;2.897537;3.115422;2.245955;2.114528;2.581847;2.533376;2.072129;2.283772;3.99E-05
338;7.619377;51.953278;47.96047646;37.06705841;27.54757937;25.09127004;38.84730644;2.853165;16.247015;8.294712;13.597462;16.847019;68.545258;1250;0;0;985000;0;2732500;0;0;9187.253906;73968.15625;141686.8281;0;0;0;16654.08398;0;30155.73047;0;0;2440.679688;0;0;16598.27734;0;28925.34766;524.585571;0;36212.01953;717.449097;101.6082;226470.8438;4908.664551;459068.8438;11065.68164;280.794983;12.917567;6.458631;4.02544;-0.05872;4.502996;8.172521;8.16399;15.099409;18.673038;18.783943;18.257225;14.004403;525.73468;3.840717;3.120004;3.708842;2.685882;3.574662;3.1525;2.868946;2.540521;3.056017;2.645193;2.475129;2.701772;7.93E-05
339;7.633271;47.588152;19.32384272;14.21020408;16.9487707;15.42866005;17.4133532;3.34789;5.154236;11.820211;9.082162;5.106006;279.43924;0;0;0;835000;0;5261875;0;0;4620.625977;59869.10938;169673.5156;0;0;0;13899.62695;0;51946.59766;0;0;2298.750732;177.185242;0;14959.41406;630.347961;39175;1037.679565;0;22840.40234;110.371155;0;181010.3594;1251.691162;499449.9375;4317.947266;0;11.296422;4.925075;1.89789;-2.968614;4.040803;8.426679;9.064232;14.752376;19.988802;20.523458;20.558586;13.833224;373.963837;1.814156;1.965077;2.187141;1.913028;1.939471;2.131093;1.750744;1.578817;1.843979;1.828966;1.468778;1.712756;5.57E-05
340;7.693785;51.547479;22.05514064;15.65095477;21.92455897;19.83689273;20.59294313;2.888241;5.814711;4.106509;6.922081;6.400164;77.210938;112500;0;0;3714375;0;5247500;0;0;4267.522461;30926.82422;56728.67578;0;0;0;20526.01563;0;61608.96875;0;0;2118.423584;0;0;16218.59766;0;26246.65039;0;0;18660.71484;333.496155;76.132004;128584.2578;2450.074219;258995.5469;6676.457031;188.140991;12.732835;6.231384;3.742159;-0.526153;4.622898;8.191599;7.878117;14.81063;18.437088;18.648159;18.071949;13.805024;571.738586;4.020624;3.262616;4.020895;2.865752;3.648733;3.434989;2.85531;2.46741;3.107103;2.759059;2.500221;2.862233;0.00008033
341;7.729909;50.424289;8.987987737;6.761525659;7.763453133;7.829126214;8.1619761;2.932965;0.2406;0.769964;0.184423;0.14266;539.07489;0;0;0;0;0;593125;0;0;5.640797;686.630249;16417.16016;0;0;0;1001.99939;0;28371.31055;0;0;0;0;0;0;0;6125.819336;0;0;0;0;0;5267.679688;0;152495.7656;0;0;11.416851;5.375799;2.896105;-1.93022;3.828433;7.470452;7.432964;14.291092;18.113754;18.692064;17.879095;12.950607;415.439117;2.96052;2.574841;3.086269;2.523544;3.041313;2.933341;2.423152;2.129252;2.477993;2.419691;2.10387;2.326247;5.13E-05
342;7.764528;47.809892;4.125692695;2.958835759;3.058101969;2.525125628;3.496811004;3.100676;0;0.087105;0.008325;0;893.153503;0;0;0;0;0;0;0;0;0;25.602913;1606.489502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;657.613892;0;0;17133.58789;0;48649.42969;0;0;10.112926;3.710934;0.497646;-4.172631;2.800848;6.958243;7.177087;13.099584;18.411573;18.663639;18.850819;12.114888;262.937469;1.830392;1.992273;2.202438;1.923799;1.95875;2.130846;1.78794;1.55841;1.929034;1.904402;1.510731;1.789355;0.000038052
343;7.7673;49.446;22.86294035;16.87291837;18.95389479;18.35732143;20.36215209;3.08441;25.753748;5.497412;8.796047;22.238884;238.576202;0;0;0;1170625;0;1535625;0;0;7200.686523;37461.625;57682.375;0;0;0;12760.41406;0;42890.26953;0;0;3785.918945;0;0;23186.17188;768.62915;34568.70703;1532.535522;0;47428.63281;456.999847;26.362654;197741.8438;3016.899902;282953.9688;9060.65918;150.278625;11.703276;5.308352;2.784012;-2.275371;4.073665;7.874274;8.405348;14.972733;19.376724;19.689846;18.974062;13.384908;350.86969;2.968528;2.868626;3.521103;2.720296;2.98209;3.189061;2.370237;2.178353;2.643739;2.64702;2.154203;2.399185;5.61E-05
344;7.802317;48.578178;25.33379021;18.28217687;25.56061214;22.79652174;23.80298637;3.23937;27.937084;20.641184;21.57193;27.536572;136.940018;1383750;6250;1875;7288750;48125;10079375;278750;3750;7504.785156;63397.69531;161626.5938;0;0;0;5783.606445;0;21050.26367;0;0;3794.306152;0;0;15881.60742;0;29988.18359;1102.602661;0;12828.74219;0;0;165448.9375;621.386475;431270.0625;2077.049805;0;12.367519;6.019254;3.300347;-1.580329;5.002339;8.932278;9.449762;15.615412;20.62981;20.875177;20.363068;14.62478;459.011597;1.983079;2.28958;2.745744;1.946579;2.125756;2.389945;1.86616;1.561969;2.039867;1.948774;1.442947;1.862818;0.000066005
