id_meetlocatie,ndw_index,start_meetperiode,eind_meetperiode,waarnemingen_intensiteit,waarnemingen_snelheid,gebruikte_minuten_intensiteit,gebruikte_minuten_snelheid,data_error_snelheid,data_error_intensiteit,gem_intensiteit,gem_snelheid,gewogen_gem_snelheid,rijstrook_rijbaan,voertuigcategorie,technical_exclusion
GAD02_Amstd_29_0,F2C,2017-05-01 00:00:00,2017-06-01 00:00:00,0.0,97597.0,44083.0,36964.0,0,0,133.0,33.23,33.12,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GAD02_Amstd_29_0,F3C,2017-05-01 00:00:00,2017-06-01 00:00:00,0.0,4122.0,44083.0,3781.0,0,0,6.0,27.41,27.63,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GAD02_Amstd_29_0,F4C,2017-05-01 00:00:00,2017-06-01 00:00:00,0.0,246.0,44083.0,243.0,0,0,0.0,26.34,26.4,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GAD02_Amstd_29_0,F5C,2017-05-01 00:00:00,2017-06-01 00:00:00,0.0,506.0,44083.0,495.0,0,0,1.0,25.63,25.65,lane1,greaterThan 12.20,
GAD02_Amstd_29_0,F6C,2017-05-01 00:00:00,2017-06-01 00:00:00,0.0,103759.0,44083.0,37612.0,0,0,142.0,32.87,32.82,lane1,anyVehicle,
GAD02_Amstd_29_0,F1C,2017-06-01 00:00:00,2017-07-01 00:00:00,0.0,147.0,43130.0,146.0,0,0,0.0,7.69,7.71,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GAD02_Amstd_29_0,F2C,2017-06-01 00:00:00,2017-07-01 00:00:00,0.0,101254.0,43130.0,37103.0,0,0,141.0,33.34,33.18,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GAD02_Amstd_29_0,F3C,2017-06-01 00:00:00,2017-07-01 00:00:00,0.0,4001.0,43130.0,3652.0,0,0,6.0,27.74,27.85,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GAD02_Amstd_29_0,F4C,2017-06-01 00:00:00,2017-07-01 00:00:00,0.0,240.0,43130.0,238.0,0,0,0.0,27.3,27.33,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GAD02_Amstd_29_0,F5C,2017-06-01 00:00:00,2017-07-01 00:00:00,0.0,484.0,43130.0,476.0,0,0,1.0,23.84,23.9,lane1,greaterThan 12.20,
GAD02_Amstd_29_0,F6C,2017-06-01 00:00:00,2017-07-01 00:00:00,0.0,107286.0,43130.0,37675.0,0,0,150.0,32.97,32.88,lane1,anyVehicle,
GAD02_Amstd_29_0,F1C,2017-07-01 00:00:00,2017-08-01 00:00:00,0.0,175.0,43922.0,175.0,0,0,0.0,7.92,7.92,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GAD02_Amstd_29_0,F2C,2017-07-01 00:00:00,2017-08-01 00:00:00,0.0,103800.0,43922.0,38069.0,0,0,142.0,32.66,32.52,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GAD02_Amstd_29_0,F3C,2017-07-01 00:00:00,2017-08-01 00:00:00,0.0,3940.0,43922.0,3590.0,0,0,5.0,27.6,27.84,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GAD02_Amstd_29_0,F4C,2017-07-01 00:00:00,2017-08-01 00:00:00,0.0,198.0,43922.0,198.0,0,0,0.0,26.35,26.35,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
