"","AverageHourlyTraffic","long","lat"
"513",1629.29166666667,8.27589199,53.12814651
"514",1226.33333333333,8.01505869,53.47377725
"515",1054.20833333333,8.19936144,52.99122051
"516",1390.04166666667,8.16795102,53.26071591
"517",85.9166666666667,7.05749653,52.31938977
"518",1976.58333333333,7.81666262,52.25453681
"519",1741.5,8.63037777,52.18674842
"521",3005.33333333333,8.02967234,52.24564804
"522",1527.25,7.32561528,52.33889944
"523",1117.33333333333,7.39905669,53.2304611
"525",741.166666666667,7.22600398,52.8743672
"526",1435.125,6.99988731,51.82856469
"527",850.916666666667,7.32718539,53.36965151
"528",1288.91666666667,7.25743804,52.3264984
"529",990.041666666667,7.20786182,52.4868582
"530",1818.79166666667,8.53215372,51.94313411
"531",1702.29166666667,8.5039933,51.95589038
"532",1234.45833333333,8.09915189,52.26372634
"533",1224.66666666667,8.11010259,52.21773123
"534",1825.08333333333,8.69996206,51.8136076
"535",1614.75,9.89423525,52.43053834
"537",869.916666666667,9.83087603,52.3059287
"538",1095.58333333333,9.97852863,51.39876699
"557",3408.41666666667,6.60615446,51.43618014
"558",2503.91666666667,6.59704422,51.43554021
"562",1453.95833333333,6.25900262,51.38430487
"563",1721.70833333333,6.30937246,51.38934641
"564",1738.125,6.58278753,51.49109753
"566",3609.83333333333,6.80621536,51.48696655
"568",3381.54166666667,7.02814363,51.5130664
"569",3550.625,7.15510085,51.54210176
"570",2792.79166666667,7.51263265,51.90604868
"574",1206.75,6.12337609,50.71966653
"577",2788,6.49098445,51.25077205
"578",1836.70833333333,6.12935408,50.72340742
"580",329.708333333333,6.67167936,51.28835062
"581",1401.75,6.36622935,50.96744656
"582",1214.91666666667,7.04987896,51.35761906
"583",2194.625,8.89195025,51.53444483
"584",2775.70833333333,6.50180443,51.26231423
"585",2136.625,9.17796512,51.40351134
"587",2473.08333333333,8.04810532,51.54587653
"588",386.083333333333,7.68046341,51.52013875
"589",1453.83333333333,8.73737954,50.47256331
"590",3166.45833333333,8.66443072,50.51733255
"591",1649.75,9.03284745,50.09374678
"592",1727.79166666667,9.03575643,50.08345032
"593",1230.5,8.93327939,50.39378824
"594",3516.91666666667,7.5107602,51.44075948
"595",243.375,7.40445436,51.46843073
"596",3286.375,7.38672719,51.50361299
"597",2571.58333333333,7.364986,51.5770474
"598",2494.125,7.92017816,50.89870908
"600",3786.375,7.54729967,51.42399216
"601",2234.95833333333,8.15606498,50.76109713
"602",4899.75,6.94344427,51.19549613
"603",4724.375,6.93125856,51.1932725
"605",1131.41666666667,6.17231646,51.04822911
"606",3553.54166666667,6.775258,51.17116282
"607",861.416666666667,8.16294547,51.36254029
"611",2727.16666666667,6.63151085,51.15151001
"612",879.125,8.11329881,51.3896471
"613",3108.83333333333,7.23761132,51.30762142
"615",2203.04166666667,7.49064358,50.36328292
"616",1202.41666666667,7.47456048,50.3524295
"617",2042.25,7.58912085,50.41246227
"618",2042.125,7.661577,50.44392794
"619",1836.29166666667,7.72416974,50.45125232
"620",2860.875,7.56977256,50.40670909
"621",1739.45833333333,9.42732521,51.2382147
"624",5046.91666666667,6.85477371,51.34725794
"625",739.291666666667,6.12411609,51.21061024
"627",1675.79166666667,7.03561123,51.61958528
"628",4470.16666666667,6.84751157,51.33878315
"629",1313.70833333333,6.26772322,51.20179498
"630",2215.625,6.52055563,51.23587714
"631",2239.41666666667,6.71103917,51.18261013
"632",4800.16666666667,6.71549581,51.17426048
"635",2902.20833333333,6.60285125,51.44027078
"636",3199.33333333333,6.6055801,51.4225071
"637",4109.83333333333,6.74199151,51.1645349
"639",586.083333333333,6.05478025,51.67395783
"640",3393.625,6.63860316,51.28057027
"641",5195.91666666667,6.70153778,51.1764168
"644",1836.125,6.56470155,51.54377713
"645",5004.54166666667,7.14240602,50.76925747
"646",3668.95833333333,7.13807213,50.76091709
"649",2781.33333333333,7.15706699,50.72852753
"650",2636.58333333333,7.06519197,50.914331
"651",2012.54166666667,6.76316439,51.35825755
"652",2312.70833333333,6.90881385,51.13328009
"653",2057.83333333333,6.93856666,51.05042543
"655",272.041666666667,8.18719103,49.99537987
"656",3815.04166666667,8.43973803,49.97551837
"657",2806.5,8.23474215,49.96455257
"658",2741.75,8.1273111,50.00056827
"659",2437.16666666667,8.03982927,49.9828847
"660",227.541666666667,8.01798449,49.97925502
"661",3627.29166666667,8.43580167,49.97510179
"662",2585.16666666667,8.20163824,49.98483587
"663",3347.70833333333,8.26184488,49.96972614
"664",3737.75,8.30524986,49.97020794
"665",382.416666666667,8.35636417,49.97630325
"667",2882.54166666667,8.15093683,50.0007928
"668",4348.875,8.31821173,49.97277831
"669",517.958333333333,6.68375767,50.00886334
"670",288.458333333333,6.18276169,50.2349445
"671",2079,8.10806204,49.77969839
"672",2706.83333333333,6.69241508,50.89875899
"673",2138.16666666667,6.69879239,50.89056985
"674",226.166666666667,7.47655598,50.36288557
"675",2130.29166666667,7.49463178,50.35147173
"676",2597,8.32053732,49.44768385
"677",2319.54166666667,8.12210154,49.75673317
"678",2130.20833333333,7.54764836,50.21560476
"679",210.333333333333,7.59448063,50.16263832
"680",2117.70833333333,8.13151695,49.74992739
"681",2146.29166666667,8.2145798,49.69930501
"682",1996,7.61724706,50.07912349
"683",1971.33333333333,7.62687952,50.07279361
"684",2041.54166666667,7.5952778,50.15356923
"685",2174.54166666667,7.38336151,50.3806794
"686",2082.875,8.34076153,49.39708097
"687",1950.66666666667,8.34067518,49.38806466
"688",1885.16666666667,7.51784801,50.25317629
"690",2732.625,7.13937961,50.57020928
"691",2860.29166666667,7.24984103,50.39247289
"692",2559.45833333333,7.75487232,49.96921578
"693",2842.83333333333,7.19586638,50.52011235
"694",3032.25,6.42454332,51.13483601
"695",3102.66666666667,8.31215381,49.48481195
"696",2321.08333333333,7.29931913,50.38801119
"698",1925.66666666667,7.48692655,50.31000671
"699",2655.33333333333,7.90622526,49.93248774
"700",2777.625,7.22780942,50.44605497
"702",3199.83333333333,7.0510851,50.58526012
"703",121.625,6.17991219,51.33226346
"704",201.291666666667,7.97810705,49.85177841
"705",229,8.28836733,49.60386341
"709",432.958333333333,7.55910457,49.39459277
"710",586.125,7.10936797,49.58452934
"711",589.333333333333,7.23396856,49.57589279
"713",343.958333333333,7.60011259,49.3377525
"715",1419.41666666667,8.10464703,49.77231799
"716",2621.20833333333,8.21454881,49.94642359
"719",2762.625,8.23119014,49.95767301
"720",1922.625,8.16429589,49.87160879
"721",1097.04166666667,7.87761661,49.55614408
"722",1301.95833333333,6.51331835,49.73479402
"723",2101.95833333333,8.31054251,49.43660152
"724",2035.875,8.30123217,49.4300285
"725",1607.95833333333,8.15243964,49.29050154
"726",1568.5,8.15315065,49.28151465
"727",1432.125,8.3468239,49.45171973
"728",1438.45833333333,8.3371551,49.44794377
"729",1878.16666666667,8.21338691,49.082595
"730",886.958333333333,8.75806715,50.1401364
"731",3353.79166666667,8.6230466,50.13518043
"732",169.625,8.85994422,50.1473032
"733",4936.45833333333,8.32113127,50.0559824
"734",2062.70833333333,9.26048995,50.22440978
"735",3909.04166666667,8.49315916,50.01090736
"736",3982,8.46600522,49.98535778
"737",3209.25,8.4755007,49.95633236
"738",3179.25,8.55623537,49.62105175
"740",2547.33333333333,8.55040109,49.88976233
"807",1251.625,9.82558323,49.73186512
"808",5280.54166666667,9.05398098,48.71480285
"810",2329.25,8.77015756,48.4520721
"811",4786.79166666667,9.09839689,48.83732204
"812",5271.625,9.15328527,48.89972145
"813",1586.79166666667,9.34729157,49.21625168
"815",1661.5,8.7880934,47.86112365
"850",1404.625,9.73539256,47.54781275
"853",1503.875,9.79316486,47.69551428
"854",459.958333333333,8.30175444,47.63569787
"855",1145.20833333333,7.68106371,47.6239313
"856",286,8.05245959,47.56839575
"857",1053.66666666667,8.94074958,47.82784141
"886",925.333333333333,9.71891469,54.2939276
"895",1670.625,9.8868039,53.39347447
"896",456.125,7.22903026,53.18079333
"897",1246.125,8.22245911,53.16995156
"898",1983.04166666667,9.71958824,52.475136
"903",885.458333333333,7.88957027,51.55918819
"904",8.875,8.80363012,50.62272476
"905",107.333333333333,6.83224695,51.34939908
"906",1369.75,7.04699541,51.3470433
"907",1575.29166666667,7.08424088,51.26222822
"909",1328.58333333333,6.83475479,50.77988624
"910",314.833333333333,6.96639748,50.8385068
"912",2301.16666666667,7.24752961,50.77564304
"913",2508.5,7.23262237,50.77655677
"914",1852.04166666667,7.29568681,50.77784762
"915",261.541666666667,7.15639558,50.72297017
"916",392.333333333333,7.16469062,50.72618939
"917",4112.875,7.12732695,50.76458785
"918",1602.29166666667,7.05549241,50.63789564
"919",300.541666666667,7.1909541,50.53130668
"921",1769.75,6.70466002,49.78311689
"924",2224.66666666667,6.89554713,49.24728025
"925",1651.375,6.81640264,49.2670996
"926",2124.66666666667,6.7316182,49.30921882
"930",1426,7.0770082,49.31763048
"931",1548.08333333333,7.03229827,49.29607741
"932",1394.375,7.02046104,49.28754207
"934",1645.58333333333,7.0015091,49.27146018
"938",270.041666666667,8.57859127,50.12522298
"939",1392.125,8.307336,49.47570257
"940",2874.75,8.38247948,49.47795857
"941",1928.45833333333,8.33504813,49.4817904
"942",1804.45833333333,8.32135011,49.47959058
"943",3120.45833333333,8.36378785,49.48032528
"944",1781.95833333333,8.54857118,49.45789028
"945",2476.75,8.5658266,49.52481319
"946",4151.54166666667,8.73716824,50.08554098
"947",296.416666666667,8.72384449,50.05527761
"948",3732.20833333333,8.65976489,50.16909378
"949",1260.95833333333,7.7575423,47.55181741
"950",737.833333333333,8.59011187,47.9939808
"953",566.458333333333,6.0293421,50.76989182
"960",523.291666666667,8.92867159,51.85963433
"986",663.5,8.03613889,48.60903044
"987",364.541666666667,9.74892717,52.0653517
"988",685.958333333333,8.66136206,50.44655702
"989",1192.20833333333,8.80456372,50.85780022
"990",706.291666666667,7.85413286,48.09372087
"991",1004.66666666667,8.74501459,50.23442892
"992",553.25,8.50153038,49.01926948
"993",1613.16666666667,8.74311705,50.75670639
"994",267,7.74170927,47.94764187
"995",490.208333333333,8.60924335,49.74114199
"996",291.833333333333,9.81075806,53.32411615
"997",167.458333333333,9.56642748,51.36267361
"1000",99.8333333333333,9.84151366,53.16705998
"1001",483.041666666667,9.90405077,53.72018466
"1010",50.0833333333333,8.95539823,54.630089
"1011",393.5,9.17802752,53.92312866
"1012",253.791666666667,8.90863576,54.8883974
"1017",426.708333333333,9.0729163,54.14834221
"1018",630.333333333333,9.04418167,54.43793934
"1024",510.958333333333,8.95575643,54.31928356
"1030",2069.125,8.80505386,53.0525853
"1033",696,9.2527651,52.61154025
"1034",312.541666666667,9.10331157,52.68098486
"1037",50.375,9.88999252,52.22383489
"1044",610.666666666667,9.12399823,51.49501465
"1046",89.9583333333333,6.14953787,51.88879925
"1048",550.208333333333,8.44609468,50.19726307
"1050",231.375,7.72333785,50.64660732
"1051",1610.91666666667,8.36733855,49.44981194
"1052",196.958333333333,7.53819154,50.39572494
"1053",351.166666666667,7.54999718,50.3899322
"1054",2115.20833333333,8.41880314,49.34943892
"1055",1055.91666666667,8.39663999,49.55190327
"1059",2236.91666666667,8.35808675,49.48576282
"1060",854.541666666667,7.27277446,50.53081057
"1061",490.25,6.81413646,51.11924654
"1062",309.083333333333,6.30457696,51.50540444
"1063",569.083333333333,6.13028833,51.68673544
"1064",437.875,5.96373124,51.81240858
"1065",413.416666666667,6.49725614,51.39824849
"1066",2320.91666666667,8.3594188,49.47735821
"1067",3384,7.570639,50.38264972
"1068",465.625,8.16673592,48.98796049
"1069",853.291666666667,8.33849552,49.88715208
"1070",148,7.71943596,50.11449165
"1071",735.333333333333,7.2307663,50.57594795
"1072",484.333333333333,7.59902786,50.29636347
"1073",1713.08333333333,8.42403055,49.35795748
"1075",1756.45833333333,8.37144275,49.28899668
"1077",333.416666666667,6.98096202,49.41284608
"1078",1073.25,7.58323811,49.23123117
"1079",1245.625,8.07119941,49.20590999
"1080",1862.83333333333,9.64222222,48.69959619
"1081",2877.58333333333,9.36362803,48.71572869
"1082",3015.95833333333,8.29870755,49.03752665
"1084",3323.625,9.12915298,48.84633747
"1085",2463.375,9.97193442,48.41664152
"1086",533.5,8.94924892,48.92759965
"1087",752.333333333333,7.89897947,49.21975823
"1098",508.583333333333,9.99369944,49.72642706
"1103",520.5,8.70834436,48.46145577
"1104",2378.45833333333,9.35204255,48.85359922
"1106",806,9.44229976,48.9767968
"1107",554.625,8.81216686,47.97856683
"1117",771.208333333333,9.6869517,49.28310969
"1121",2178.70833333333,9.97711807,49.81360288
"1136",2947.625,9.16339409,48.71445323
"1137",396.208333333333,9.93653113,51.49555072
"1138",520.625,9.97660998,51.13688049
"1139",427.291666666667,8.59544521,47.66896149
"1140",221.875,9.84361322,50.10221543
"1141",2043.41666666667,9.17720468,48.84274844
"1143",1326.875,9.68560914,50.49164025
"1144",836.75,9.73292074,50.62798183
"1145",1510.95833333333,9.23533603,49.19090971
"1146",134.958333333333,8.57996085,47.80396382
"1147",252.25,9.22719551,49.41991718
"1148",615.25,8.62916277,48.12197157
"1149",296.958333333333,9.89858211,51.05827611
"1150",321.416666666667,9.6075958,49.61970567
"1151",151.083333333333,9.06490089,48.47649699
"1152",337.75,9.1521566,49.00827538
"1153",1088.125,9.03971506,48.506463
"1154",168.208333333333,9.67681262,48.46301582
"1155",1278.29166666667,7.8042394,48.57453028
"1156",369.708333333333,8.1634846,48.46846315
"1157",2306.625,9.44692795,48.80747818
"1158",961.541666666667,9.79055461,48.80440378
"1160",774,9.77624144,47.99322366
"1161",913.041666666667,7.77636097,48.03783561
"1162",780.333333333333,7.7714787,48.04210945
"1163",60.5833333333333,7.58360821,48.02366943
"1164",808.916666666667,8.43171313,47.89625235
"1165",867.708333333333,8.00024311,47.94508404
"1166",1487.16666666667,7.8906686,47.9829531
"1167",822.375,8.26628198,47.90102586
"1168",773.5,9.30694559,47.6835867
"1169",957.875,8.10517766,47.91230184
"1170",896.541666666667,9.6867866,47.57747887
"1171",423.291666666667,9.20586439,48.10710973
"1172",438.833333333333,8.2226249,48.22179136
"1173",215.375,8.22310692,48.22083965
"1174",1247.54166666667,9.09849994,47.70813348
"1175",843.875,9.16107796,47.660126
"1176",907.833333333333,9.02166104,47.73632197
"1177",650.625,8.72432962,47.74094693
"1180",579.458333333333,8.23238439,47.60898938
"1181",58.875,8.3819489,49.22806821
"1182",737.291666666667,8.23745705,48.87333925
"1183",778.375,8.72894675,49.58985259
"1185",431.833333333333,8.82685482,49.81249269
"1186",218.708333333333,7.9540132,49.04743571
"1187",505.666666666667,8.39947229,49.31650884
"1188",1151.54166666667,8.45024975,49.31545428
"1189",1320.08333333333,8.24260722,49.96728789
"1190",451.291666666667,7.15890648,49.61808567
"1191",655.083333333333,7.38865408,49.72675864
"1192",455.75,6.95779412,49.20500966
"1194",33.8333333333333,7.19220882,49.66356566
"1195",1195.625,7.85162606,49.85792648
"1196",206.958333333333,7.16689123,50.72064671
"1197",352.333333333333,7.32070349,50.51656717
"1198",1765.875,7.57246884,50.41746042
"1199",486.958333333333,7.42078537,50.44563895
"1200",886.958333333333,7.61014291,50.30556574
"1201",867.708333333333,7.21948333,50.61744583
"1203",8,7.61465017,50.37325239
"1204",693.416666666667,8.45662834,49.62620287
"1205",1283.79166666667,8.91266135,50.16741974
"1206",707.25,8.99261478,49.76940532
"1208",245.541666666667,7.83244606,49.58977741
"1209",591.291666666667,7.62301816,50.34007704
"1210",22.375,7.16884015,50.15537418
"1211",3.29166666666667,7.55547508,50.34469993
"1212",868.208333333333,8.36139201,50.54110485
"1213",554.125,6.50694735,49.71431379
"1215",865.333333333333,6.51415922,49.96405369
"1216",627.291666666667,6.788788,49.28082475
"1217",491.166666666667,6.51029462,50.3676885
"1219",261.916666666667,8.01954877,52.11539708
"1220",1142.45833333333,6.62216073,49.72429494
"1221",650.125,6.54151838,49.90583835
"1222",458.208333333333,6.61923438,49.48174849
"1223",372.208333333333,7.80613428,51.99479989
"1224",659.916666666667,8.20232886,52.33533567
"1225",471.333333333333,7.06806492,49.11665858
"1226",76.375,7.7342398,51.9809596
"1227",696.458333333333,6.69422665,50.46194501
"1228",249.708333333333,8.61893961,52.78165971
"1229",294.5,6.53638432,49.64403464
"1233",1351.04166666667,7.4950071,52.02037975
"1234",86.375,7.67590585,51.77253353
"1235",444.375,8.0639536,50.500024
"1236",877.958333333333,7.484241,51.59681009
"1237",343.625,7.67406423,51.84210535
"1238",255.25,7.57400561,51.1843527
"1239",1348.83333333333,7.99761181,50.94836505
"1240",545.541666666667,7.66742051,51.10330629
"1241",190.25,7.91812317,51.00823064
"1242",329.916666666667,7.56968685,51.63706008
"1243",465.541666666667,7.68297739,51.0238508
"1244",666.708333333333,7.64193512,50.99287793
"1245",452.666666666667,6.59644147,50.94587562
"1246",238.541666666667,8.02100481,51.12183217
"1247",297.625,8.34465392,51.4245316
"1248",957.875,7.21259985,50.81468459
"1249",141.208333333333,5.91163411,50.99561464
"1251",346.041666666667,6.09058064,50.73879119
"1252",756.083333333333,6.14852819,50.8648446
"1253",412.041666666667,6.53490306,51.59491798
"1254",468.833333333333,6.35048158,51.15458049
"1255",291.541666666667,7.48547014,51.78007466
"1257",374.958333333333,6.30528152,51.5053051
"1258",539.291666666667,6.53467659,51.59277645
"1259",177.75,6.22361517,51.41041709
"1260",736.083333333333,6.76057001,51.00434142
"1261",983.291666666667,8.91556675,52.26084649
"1262",597.541666666667,8.33639925,51.86213018
"1264",379.208333333333,8.95622765,52.38733359
"1265",401.833333333333,8.77615419,52.70371415
"1266",680.291666666667,8.79303711,50.85729967
"1268",292.458333333333,7.89050612,50.81954665
"1270",149.791666666667,8.12534227,50.93281421
"1271",349.875,9.59760131,50.79440545
"1272",419.416666666667,8.46908444,50.92134013
"1273",249.875,7.75923894,51.79144295
"1274",444.833333333333,9.48156409,51.83990824
"1275",407.458333333333,9.00530933,51.72758476
"1277",428.375,8.52698462,51.77507809
"1278",466.166666666667,9.44139953,52.33064424
"1279",960.125,9.00215117,52.25961465
"1281",143.875,8.61071635,51.99711004
"1282",267.666666666667,7.95369682,52.58944387
"1283",681.041666666667,8.37680776,52.05126334
"1284",1298.45833333333,8.03551938,52.32121454
"1286",463.458333333333,8.22806524,52.81036912
"1287",1.95833333333333,7.13572592,52.11824039
"1288",318.083333333333,7.38577398,52.44443257
"1289",246.333333333333,6.84897789,52.07949371
"1290",492.25,7.42994448,53.12880288
"1291",102.208333333333,6.81518484,51.76484861
"1293",386.791666666667,9.07811166,53.49460146
"1294",410.875,8.70994898,53.47631906
"1296",191.916666666667,9.82105438,52.99626624
"1299",8.16666666666667,7.49974528,53.45508661
"1300",246.583333333333,7.63925847,53.20282349
"1301",554.625,7.32355801,53.47594673
"1302",490.875,8.75967022,53.82735879
"1304",225.333333333333,9.51135308,53.57538904
"1305",1884.79166666667,8.70992705,53.047419
"1307",446.125,9.27330167,53.1187364
"1308",480.875,9.80992885,53.32534172
"1309",531.333333333333,9.80965282,54.48524016
"1313",252.291666666667,9.55330575,53.95177228
"1314",274,9.65106947,54.07856263
"1315",358.708333333333,9.57537204,54.34896497
"1318",217.125,9.99302048,51.38049752
"1321",62.7916666666667,9.49436022,51.65095851
"1326",147.125,9.46792159,51.63697406
"1327",626.083333333333,9.78317368,50.98309388
