id_meetlocatie,ndw_index,start_meetperiode,eind_meetperiode,waarnemingen_intensiteit,waarnemingen_snelheid,gebruikte_minuten_intensiteit,gebruikte_minuten_snelheid,data_error_snelheid,data_error_intensiteit,gem_intensiteit,gem_snelheid,gewogen_gem_snelheid,rijstrook_rijbaan,voertuigcategorie,technical_exclusion
GEO02_R_RWSTI4340,F14C,2017-07-01 00:00:00,2017-08-01 00:00:00,0.0,0.0,44591.0,0.0,1,0,0.0,-1.0,-1.0,lane2,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO02_R_RWSTI4340,F15C,2017-07-01 00:00:00,2017-08-01 00:00:00,0.0,0.0,44591.0,0.0,1,0,0.0,-1.0,-1.0,lane2,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO02_R_RWSTI4340,F16C,2017-07-01 00:00:00,2017-08-01 00:00:00,0.0,0.0,44591.0,0.0,1,0,0.0,-1.0,-1.0,lane2,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO02_R_RWSTI4340,F17C,2017-07-01 00:00:00,2017-08-01 00:00:00,0.0,0.0,44591.0,0.0,1,0,0.0,-1.0,-1.0,lane2,greaterThan 12.20,
GEO02_R_RWSTI4340,F18C,2017-07-01 00:00:00,2017-08-01 00:00:00,262885.0,0.0,44591.0,0.0,1,0,354.0,-1.0,-1.0,lane2,anyVehicle,
GEO02_R_RWSTI4340,F1C,2017-08-01 00:00:00,2017-09-01 00:00:00,0.0,0.0,43755.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO02_R_RWSTI4340,F2C,2017-08-01 00:00:00,2017-09-01 00:00:00,3.0,0.0,43755.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO02_R_RWSTI4340,F3C,2017-08-01 00:00:00,2017-09-01 00:00:00,0.0,0.0,43755.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO02_R_RWSTI4340,F4C,2017-08-01 00:00:00,2017-09-01 00:00:00,0.0,0.0,43755.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO02_R_RWSTI4340,F5C,2017-08-01 00:00:00,2017-09-01 00:00:00,0.0,0.0,43755.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 12.20,
GEO02_R_RWSTI4340,F6C,2017-08-01 00:00:00,2017-09-01 00:00:00,252550.0,0.0,43755.0,0.0,1,0,346.0,-1.0,-1.0,lane1,anyVehicle,
GEO02_R_RWSTI4340,F13C,2017-08-01 00:00:00,2017-09-01 00:00:00,0.0,0.0,43755.0,0.0,1,0,0.0,-1.0,-1.0,lane2,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO02_R_RWSTI4340,F14C,2017-08-01 00:00:00,2017-09-01 00:00:00,0.0,0.0,43755.0,0.0,1,0,0.0,-1.0,-1.0,lane2,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO02_R_RWSTI4340,F15C,2017-08-01 00:00:00,2017-09-01 00:00:00,0.0,0.0,43755.0,0.0,1,0,0.0,-1.0,-1.0,lane2,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO02_R_RWSTI4340,F16C,2017-08-01 00:00:00,2017-09-01 00:00:00,0.0,0.0,43755.0,0.0,1,0,0.0,-1.0,-1.0,lane2,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO02_R_RWSTI4340,F17C,2017-08-01 00:00:00,2017-09-01 00:00:00,0.0,0.0,43755.0,0.0,1,0,0.0,-1.0,-1.0,lane2,greaterThan 12.20,
GEO02_R_RWSTI4340,F18C,2017-08-01 00:00:00,2017-09-01 00:00:00,99752.0,0.0,43755.0,0.0,1,0,137.0,-1.0,-1.0,lane2,anyVehicle,
GEO02_R_RWSTI4340,F1C,2017-09-01 00:00:00,2017-10-01 00:00:00,3020.0,0.0,43187.0,0.0,1,0,4.0,-1.0,-1.0,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,
GEO02_R_RWSTI4340,F2C,2017-09-01 00:00:00,2017-10-01 00:00:00,296330.0,0.0,43187.0,0.0,1,0,412.0,-1.0,-1.0,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,
GEO02_R_RWSTI4340,F3C,2017-09-01 00:00:00,2017-10-01 00:00:00,4252.0,0.0,43187.0,0.0,1,0,6.0,-1.0,-1.0,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,
GEO02_R_RWSTI4340,F4C,2017-09-01 00:00:00,2017-10-01 00:00:00,42.0,0.0,43187.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,
GEO02_R_RWSTI4340,F5C,2017-09-01 00:00:00,2017-10-01 00:00:00,266.0,0.0,43187.0,0.0,1,0,0.0,-1.0,-1.0,lane1,greaterThan 12.20,
GEO02_R_RWSTI4340,F6C,2017-09-01 00:00:00,2017-10-01 00:00:00,317240.0,0.0,43187.0,0.0,1,0,441.0,-1.0,-1.0,lane1,anyVehicle,
